feature,importance_mean,importance_std
F0,-0.06349789875416353,0.0009454598396861527
F1,-0.0353369408305277,0.0005306517148994301
F2,-0.023544526280607235,0.0003778435319366311
F3,-0.020218859802966182,0.00031548595257986075
F4,-0.028921326883028797,0.000404041665170137
F5,-0.03606061716268853,0.0005268427298162885
F6,-0.045442349628590194,0.000669869052539042
F7,-0.062335612272376294,0.0008745761625300211
F8,-0.3358613068181915,0.0038058752592381047
F9,-0.15606943262200637,0.001967712481321923
F10,-0.08943560635315109,0.0009896803881416
F11,-1.2790214451734205,0.015526856328019407
F12,1.175378525095214,0.03810893666003487
